TAIR ID;Short name;Full name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1_logFC_0.5h_PRJEB19862;2_logFC_0.5h_GSE18975;3_logFC_1h_GSE149410;4_logFC_1h_GSE18975;5_logFC_2h_GSE3350;6_logFC_2h_GSE35580;7_logFC_2h_GSE42896;8_logFC_2h_GSE627;9_logFC_3h_GSE18975;10_logFC_3h_GSE58028;11_logFC_4h_SRP033494;12_logFC_4h_GSE42007;13_logFC_4h_GSE7432;14_logFC_6h_SRP102803;15_logFC_6h_GSE3350;16_logFC_6h_GSE42896;17_logFC_6h_GSE59426;18_logFC_8h_GSE42007;19_logFC_12h_GSE42007;20_logFC_18h_GSE59741;21_logFC_24h_GSE42007;22_logFC_55h_SRP074436;23_logFC_72h_SRP214076;FDR_0.5h_PRJEB19862;FDR_0.5h_GSE18975;FDR_1h_GSE149410;FDR_1h_GSE18975;FDR_2h_GSE3350;FDR_2h_GSE35580;FDR_2h_GSE42896;FDR_2h_GSE627;FDR_3h_GSE18975;FDR_3h_GSE58028;FDR_4h_SRP033494;FDR_4h_GSE42007;FDR_4h_GSE7432;FDR_6h_SRP102803;FDR_6h_GSE3350;FDR_6h_GSE42896;FDR_6h_GSE59426;FDR_8h_GSE42007;FDR_12h_GSE42007;FDR_18h_GSE59741;FDR_24h_GSE42007;FDR_55h_SRP074436;FDR_72h_SRP214076
AT1G62770;AT1G62770;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT1G62770);;3#5-19#21-22;18;1h;;;1.0;;2.1;3.1;1.7;3.1;2.5;1.8;4.0;3.2;2.9;3.6;2.6;2.7;1.3;4.0;4.6;;3.9;4.7;;;;3.6E-08;;1.1E-02;1.2E-06;1.9E-04;8.3E-06;1.8E-06;3.6E-03;0.0E+00;7.1E-04;2.5E-03;2.3E-21;2.5E-04;3.5E-07;4.2E-05;6.2E-06;1.8E-05;;7.2E-04;9.2E-39;
AT5G65640;bHLH093;beta HLH protein 93(bHLH093);;3#5-19#21-22;18;1h;;;1.6;;1.5;1.2;1.8;0.9;0.9;0.7;2.5;2.2;1.9;2.5;0.8;1.7;1.4;2.4;2.8;;2.9;0.4;;;;5.0E-05;;2.0E-03;9.6E-04;2.1E-03;8.8E-03;3.3E-05;2.0E-02;1.7E-212;1.4E-03;6.0E-03;9.0E-10;4.2E-03;5.3E-04;1.1E-04;3.3E-05;8.8E-05;;3.9E-03;3.9E-02;
AT4G09460;MYB6;myb domain protein 6(MYB6);2;3#5-16#18-19#21-22;18;0.5h;;-0.4;1.0;;1.2;1.7;1.0;0.7;0.6;0.5;1.9;1.7;0.7;1.7;2.1;1.7;;2.1;2.0;;1.5;1.0;;;3.8E-02;9.2E-08;;1.5E-03;3.6E-05;7.0E-03;9.0E-03;6.2E-04;3.8E-02;3.1E-60;2.1E-04;2.2E-02;2.2E-03;2.3E-04;2.5E-05;;9.7E-06;8.3E-04;;2.1E-03;5.5E-05;
AT1G60010;AT1G60010;D-ribose-binding periplasmic protein(AT1G60010);23;2-9#11-19;18;0.5h;;0.8;2.3;1.2;3.1;1.7;3.2;1.5;1.2;;3.1;3.2;2.4;3.1;3.9;3.7;1.8;3.3;2.3;;;;-0.5;;4.8E-05;3.3E-93;1.4E-05;1.4E-04;4.5E-05;1.4E-05;7.3E-04;3.3E-05;;0.0E+00;6.8E-04;1.7E-02;2.5E-16;5.0E-05;4.2E-07;3.6E-06;4.9E-05;9.0E-04;;;;3.4E-02
AT2G42440;ASL15;Lateral organ boundaries (LOB) domain family protein(ASL15);;2-9#11-19#22;18;0.5h;;1.0;3.1;1.6;4.3;3.1;4.8;2.5;1.0;;4.2;3.6;1.6;4.4;5.1;5.7;0.8;1.7;0.9;;;8.7;;;3.8E-05;1.0E-17;1.5E-05;9.6E-04;3.3E-05;2.2E-06;4.9E-05;3.7E-05;;8.6E-97;5.0E-05;1.7E-02;6.3E-04;7.2E-05;2.3E-07;3.1E-02;1.6E-04;2.7E-02;;;5.1E-12;
AT3G28850;AT3G28850;Glutaredoxin family protein(AT3G28850);;2-9#11-19#22;18;0.5h;;0.3;1.4;0.9;1.6;1.6;1.7;1.3;1.1;;2.2;1.4;0.8;1.8;2.0;1.8;0.3;1.3;1.4;;;1.1;;;3.7E-02;1.1E-11;2.5E-05;8.2E-04;4.8E-05;3.4E-05;1.7E-02;1.3E-05;;2.2E-70;8.6E-04;1.7E-02;1.9E-02;2.1E-04;1.6E-06;2.7E-02;1.8E-04;1.2E-03;;;4.1E-07;
AT5G57100;AT5G57100;Nucleotide/sugar transporter family protein(AT5G57100);;2-9#11-19#22;18;0.5h;;0.6;1.2;0.7;1.3;2.9;1.1;0.7;0.8;;1.9;1.6;0.7;3.4;1.8;2.0;0.7;1.8;1.5;;;1.0;;;2.3E-04;4.9E-14;3.0E-04;7.5E-04;2.5E-06;8.6E-04;3.5E-02;7.4E-05;;7.7E-91;8.0E-04;3.5E-02;1.7E-07;3.3E-04;4.1E-06;8.8E-04;1.4E-04;4.4E-03;;;2.3E-08;
AT2G42430;LBD16;lateral organ boundaries-domain 16(LBD16);;2-9#11-18#22-23;18;0.5h;;2.7;2.1;2.7;3.5;2.0;3.7;2.2;1.9;;2.7;1.8;0.9;3.1;4.4;3.6;1.3;1.3;;;;8.1;3.6;;5.0E-08;2.0E-30;3.0E-07;7.4E-05;1.6E-05;7.4E-07;5.1E-05;5.4E-07;;7.8E-107;8.5E-04;3.3E-02;1.8E-02;4.6E-05;1.1E-07;8.1E-05;2.9E-04;;;;4.5E-39;4.4E-02
AT5G09800;AT5G09800;ARM repeat superfamily protein(AT5G09800);;2-9#11-18#22-23;18;0.5h;;0.7;2.3;1.2;3.4;1.8;4.1;1.3;1.6;;2.7;2.0;1.5;4.6;4.6;4.9;0.6;1.2;;;;3.5;2.1;;1.6E-04;1.9E-30;4.4E-06;1.5E-04;7.9E-05;2.0E-06;8.9E-04;9.5E-07;;4.8E-127;1.1E-03;6.0E-03;3.4E-06;4.6E-05;3.7E-08;7.2E-04;2.0E-03;;;;2.4E-33;1.4E-03
AT2G39710;AT2G39710;Eukaryotic aspartyl protease family protein(AT2G39710);;2-9#11-17#20#22-23;18;0.5h;;0.4;1.0;0.6;1.9;1.4;1.7;0.6;1.0;;2.0;1.3;0.5;2.1;3.0;2.6;0.4;;;0.8;;2.1;1.2;;6.6E-03;7.0E-03;5.0E-04;5.8E-04;7.8E-05;1.2E-04;2.0E-02;4.0E-05;;4.4E-44;6.2E-03;4.4E-02;1.2E-02;1.4E-04;3.0E-07;1.7E-02;;;4.8E-02;;1.1E-07;2.2E-02
AT4G17350;AT4G17350;auxin canalization protein (DUF828)(AT4G17350);;2-9#11-16#18-19#21-22;18;0.5h;;0.4;2.2;1.5;3.8;4.6;3.3;3.3;2.6;;3.4;3.1;1.7;3.8;4.0;3.9;;3.0;2.1;;1.1;1.8;;;6.4E-03;1.0E-13;8.8E-07;1.3E-04;1.0E-06;2.2E-06;9.1E-06;1.4E-07;;0.0E+00;2.7E-04;4.6E-03;1.6E-16;3.8E-05;6.3E-08;;1.9E-05;8.8E-05;;4.3E-03;3.7E-26;
AT1G66480;AT1G66480;plastid movement impaired 2(AT1G66480);;2-9#11-16#18-19#21-22;18;0.5h;;0.5;1.2;0.8;1.5;2.0;1.7;1.3;1.1;;1.8;1.6;0.9;2.4;1.4;2.0;;1.8;1.9;;1.5;1.7;;;4.7E-03;1.8E-05;8.2E-04;9.5E-04;1.1E-05;3.1E-05;4.6E-04;1.4E-05;;7.9E-49;3.1E-04;4.2E-02;2.3E-02;7.8E-04;1.8E-06;;5.7E-05;2.0E-03;;5.4E-03;1.1E-11;
AT3G20830;UCNL;AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(UCNL);;2-9#11-13#15-19#21-22;18;0.5h;;1.4;1.7;1.2;1.5;1.7;1.0;1.6;1.1;;2.0;1.0;0.6;;1.7;0.8;0.6;1.0;1.3;;1.0;0.6;;;9.7E-06;6.7E-20;5.3E-06;2.4E-03;3.0E-05;6.5E-04;3.4E-04;2.6E-05;;5.8E-101;2.6E-03;4.5E-02;;2.3E-04;1.1E-04;2.9E-03;7.9E-04;1.0E-03;;2.2E-02;2.9E-03;
AT2G39700;EXPA4;expansin A4(EXPA4);20;2-9#11-12#14-19#22;18;0.5h;;0.5;1.2;0.9;2.8;2.9;1.4;1.6;0.5;;2.6;1.8;;4.7;4.3;2.5;0.7;0.8;1.1;-0.8;;2.6;;;1.1E-02;1.4E-13;9.7E-05;1.1E-03;6.4E-06;1.3E-03;3.4E-03;4.2E-03;;8.1E-245;1.0E-02;;1.6E-48;4.1E-04;1.5E-06;1.7E-03;1.8E-03;7.7E-03;2.2E-02;;3.6E-57;
AT1G33590;AT1G33590;Leucine-rich repeat (LRR) family protein(AT1G33590);22;2-7#9#11-19#21;18;0.5h;;0.5;1.0;0.5;1.7;0.9;1.6;;0.6;;1.2;1.6;0.8;3.0;0.7;1.4;0.9;2.2;2.4;;2.2;-0.6;;;6.5E-03;3.9E-06;5.9E-03;2.0E-03;7.9E-03;5.5E-04;;5.6E-03;;2.3E-45;4.5E-03;2.6E-02;6.1E-06;2.3E-02;1.2E-05;5.0E-04;4.8E-04;2.5E-03;;9.0E-04;2.5E-04;
AT3G09280;AT3G09280;transmembrane protein(AT3G09280);;2-4#6-14#16-19#21-22;18;0.5h;;0.9;2.8;1.4;;2.6;1.1;2.2;1.6;1.6;4.3;2.8;1.7;5.6;;2.5;1.0;3.2;3.1;;2.5;4.9;;;5.5E-05;4.9E-17;1.2E-06;;4.0E-06;2.6E-03;2.9E-04;2.1E-06;6.0E-03;2.9E-67;2.8E-04;1.7E-02;5.2E-05;;8.0E-05;3.9E-04;2.3E-05;3.1E-05;;9.2E-04;5.5E-03;
AT4G12510;AZI5;Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G12510);3-13#15-19#21;22;18;1h;;;-1.9;-0.7;-1.8;-4.4;-1.6;-3.1;-2.1;-3.6;-4.7;-4.2;-0.7;NA;-2.5;-3.0;-1.0;-4.6;-3.5;;-2.1;2.5;;;;4.6E-29;5.4E-04;5.7E-03;1.7E-06;3.0E-02;3.9E-05;2.7E-06;2.4E-03;0.0E+00;1.0E-05;2.7E-02;1.5E-19;3.5E-04;3.5E-04;2.3E-05;3.2E-03;1.4E-03;;2.9E-02;1.0E-05;
AT3G50660;DWF4;Cytochrome P450 superfamily protein(DWF4);17;2-16#18#22;18;0.5h;;0.5;1.0;0.5;1.4;2.1;1.3;1.0;0.6;0.6;1.4;1.6;0.5;2.7;2.9;2.3;-0.3;1.3;;;;1.5;;;1.5E-03;3.5E-05;3.1E-03;1.3E-03;3.3E-05;2.2E-03;2.3E-02;4.1E-04;4.6E-02;1.3E-65;1.3E-03;4.9E-02;2.8E-09;5.0E-04;6.8E-06;2.8E-02;5.3E-03;;;;3.6E-23;
AT5G45280;PAE11;Pectinacetylesterase family protein(AT5G45280);15-16#20;2-12#17-19#22;18;0.5h;;0.8;1.0;1.1;0.8;1.2;1.9;1.4;1.3;0.5;0.7;1.2;;;-1.1;-0.7;0.3;1.1;0.9;-0.7;;1.8;;;8.4E-05;4.4E-18;1.6E-05;2.5E-02;7.0E-04;3.2E-04;1.8E-02;7.6E-06;4.3E-02;1.1E-24;4.0E-03;;;1.5E-03;7.7E-03;1.3E-02;3.4E-03;1.4E-02;4.4E-02;;7.6E-16;
AT4G22620;SAUR34;SAUR-like auxin-responsive protein family(AT4G22620);;2-12#14-19#22;18;0.5h;;2.4;4.0;2.8;1.8;4.3;2.5;2.8;3.2;1.3;5.7;4.2;;5.6;3.0;4.6;1.3;3.8;2.4;;;3.4;;;2.5E-07;1.2E-36;4.7E-08;8.7E-04;1.8E-06;3.0E-04;4.9E-05;8.5E-08;1.2E-02;8.3E-47;8.0E-05;;2.1E-05;2.5E-04;7.1E-07;1.3E-03;4.5E-06;1.9E-04;;;2.6E-08;
AT2G47140;SDR5;NAD(P)-binding Rossmann-fold superfamily protein(SDR5);;2#4-16#18-19#22-23;18;0.5h;;0.9;;1.5;2.1;3.0;2.3;2.0;1.9;0.7;1.3;2.2;0.9;3.0;3.9;3.9;;2.3;2.5;;;4.9;4.2;;2.1E-04;;1.0E-05;7.9E-04;2.7E-06;1.6E-05;1.0E-03;6.0E-06;1.6E-02;2.6E-46;4.5E-04;1.5E-02;5.0E-06;6.2E-05;3.0E-08;;1.2E-05;3.1E-05;;;1.1E-50;2.2E-02
AT1G73590;PIN1;Auxin efflux carrier family protein(PIN1);20;1-9#11-17#22;18;0.5h;0.3;0.8;1.4;1.3;2.7;2.3;2.1;1.7;0.4;;2.0;1.3;0.5;2.4;3.5;2.5;0.5;;;-1.4;;1.6;;1.2E-02;5.7E-05;1.8E-20;1.4E-05;1.3E-04;7.3E-05;3.1E-05;8.7E-03;3.0E-02;;1.3E-159;1.9E-03;4.4E-02;4.2E-06;4.6E-05;4.9E-07;5.0E-03;;;6.6E-03;;5.1E-62;
AT1G04240;SHY2;AUX/IAA transcriptional regulator family protein(SHY2);;1-8#11-19#22;18;0.5h;0.8;1.3;1.7;1.2;1.9;1.7;1.3;1.6;;;2.4;1.9;0.8;3.4;2.5;2.0;0.7;2.3;2.4;;;2.2;;8.0E-06;2.1E-05;1.0E-14;1.3E-05;9.2E-04;8.5E-04;9.3E-05;2.4E-02;;;2.6E-84;4.9E-04;2.6E-02;4.9E-23;1.4E-04;8.7E-06;4.5E-04;1.6E-04;7.7E-04;;;6.4E-17;
AT4G37590;NPY5;Phototropic-responsive NPH3 family protein(NPY5);;1-8#11-19#22;18;0.5h;0.4;0.4;0.9;0.7;2.0;1.8;1.4;1.0;;;0.7;0.6;0.8;1.4;1.7;1.2;0.3;0.6;0.4;;;0.9;;1.0E-10;1.4E-03;6.7E-11;8.6E-05;3.6E-04;1.9E-05;1.0E-04;3.8E-02;;;1.5E-18;2.1E-02;1.9E-02;5.2E-07;2.3E-04;5.6E-05;1.9E-02;4.6E-03;4.9E-02;;;1.7E-12;
AT5G62280;AT5G62280;DUF1442 family protein (DUF1442)(AT5G62280);;1-4#6-14#17-19#21-22;18;0.5h;1.6;1.2;1.9;1.6;;3.5;1.3;2.6;0.6;1.1;2.1;2.6;2.2;2.3;;;1.4;2.6;2.2;;1.0;1.8;;1.7E-19;1.2E-05;2.3E-33;2.2E-06;;2.0E-06;1.0E-03;6.6E-04;2.9E-03;6.0E-03;2.1E-76;1.1E-03;1.7E-02;8.9E-05;;;9.4E-05;1.1E-05;3.2E-04;;1.9E-02;4.9E-04;
AT4G37900;AtGRDP2;hypothetical protein (duplicated DUF1399)(AT4G37900);;1-2#4-12#14-16#18-19#21-22;18;0.5h;0.2;0.3;;0.5;0.7;1.4;0.8;1.0;1.2;0.8;2.0;2.3;;3.6;1.9;2.0;;2.7;2.8;;2.4;0.7;;2.9E-03;2.0E-02;;5.2E-04;6.8E-03;2.8E-04;5.7E-03;1.5E-03;1.5E-04;1.9E-02;4.3E-86;1.7E-04;;4.9E-19;3.3E-04;2.7E-06;;5.3E-06;3.2E-04;;2.3E-02;1.0E-03;
AT3G62100;IAA30;indole-3-acetic acid inducible 30(IAA30);;1-12#15-19#22;18;0.5h;1.2;1.4;3.5;1.9;2.9;4.7;4.0;2.7;0.7;0.8;4.2;2.8;;Inf;3.4;4.4;0.6;1.7;0.9;;;4.2;;9.7E-05;1.2E-04;5.9E-22;3.5E-05;2.1E-03;2.1E-06;6.0E-06;1.7E-04;2.0E-03;3.9E-02;4.2E-89;1.0E-04;;2.0E-02;3.8E-04;6.4E-07;7.1E-03;7.1E-05;1.2E-02;;;2.8E-135;
AT1G76890;GT2;Duplicated homeodomain-like superfamily protein(GT2);2-9#11-12#14-19#22;6;17;0.5h;;-0.6;-1.2;-0.9;-1.0;-2.0;-1.6;-0.8;-0.6;;-1.8;-1.1;;-2.1;-2.1;-2.5;-0.4;-0.9;-0.8;;;-1.4;;;8.2E-04;4.1E-19;1.0E-04;2.0E-03;3.8E-05;5.4E-05;8.4E-03;1.4E-02;;2.8E-51;3.3E-02;;9.4E-04;4.4E-04;6.1E-07;1.7E-02;8.8E-03;4.0E-02;;;1.3E-06;
AT3G44540;FAR4;fatty acid reductase 4(FAR4);;6-19#21-23;17;2_3h;;;;;;1.1;1.1;1.0;1.6;0.9;2.0;1.8;1.2;3.3;3.1;2.4;3.8;2.3;2.4;;2.3;5.0;2.5;;;;;;2.3E-03;3.4E-04;1.0E-02;2.9E-05;9.8E-03;3.0E-120;7.6E-04;1.4E-02;4.6E-18;4.4E-04;7.6E-07;6.4E-05;2.0E-05;1.0E-03;;1.2E-02;1.4E-60;2.3E-02
AT1G67750;AT1G67750;Pectate lyase family protein(AT1G67750);4;5-19#21;17;1h;;;;-0.3;2.5;4.5;2.7;1.7;1.4;1.3;2.5;3.0;1.5;4.0;5.6;6.3;0.3;4.2;4.8;;4.4;;;;;;1.8E-02;1.4E-04;5.1E-07;5.1E-04;1.5E-03;1.5E-06;5.9E-03;1.3E-195;2.5E-05;1.6E-02;8.5E-20;5.0E-05;2.1E-08;4.0E-02;1.7E-06;1.2E-05;;4.3E-04;;
AT2G37280;ABCG33;pleiotropic drug resistance 5(ABCG33);;4-9#11-19#21-22;17;1h;;;;0.4;1.3;1.7;1.0;0.6;0.6;;2.0;1.5;1.1;1.8;1.7;1.4;0.6;1.3;1.1;;0.7;1.9;;;;;1.5E-02;1.0E-03;3.0E-03;1.2E-03;4.8E-02;2.0E-03;;3.9E-99;3.1E-03;1.5E-02;6.7E-03;2.9E-04;1.5E-05;9.9E-04;1.3E-03;4.7E-03;;2.6E-02;8.1E-19;
